"Handle"	"Funder Identifier lt. CrossRef"	"Funder-Info lt. CrossRef"	"Funder-Phrase lt. PDF"	"keine Funder-Angabe im PDF"
"10419/205933"	"'10.13039/501100002338'"	"'Ministry of Education of the People's Republic of China'"	"This study was funded by the “Wellbeing and quality of life of minority families migrating from rural to urban areas” sponsored by the Ministry of Education of China Humanities and Social Sciences Research Youth Project Fund [Project number 14YJC630042]."	
"10419/196994"		"'Centers for Global Advancement and International Affairs, Rutgers University'"	"This study was funded by the Centers for Global Advancement and International Affairs at Rutgers University."	
"10419/157735"		"'the Deutscher Akademischer Austausch Dienst (DAAD) and the Egyptian Ministry of Higher Education under Grant GERLS 2010'"	"This study was funded by the Deutscher Akademischer Austausch Dienst (DAAD) and the Egyptian Ministry of Higher Education under Grant GERLS 2010."	
"10419/206098"		"'Forum for Agricultural Research in Africa'"	"This study was funded by the European Union through Forum for Agricultural Research in Africa (FARA) [TSB95]."	
"10419/150509"	"'10.13039/501100001659'"	"'Deutsche Forschungsgemeinschaft'"	"This study was funded by the German Research Foundation (DFG)."	
"10419/195032"	"'10.13039/501100001659'"	"'Deutsche Forschungsgemeinschaft', 'Deutsche Forschungsgemeinschaft (DE)'"	"This study was funded by the German Science Foundation (DFG) through the project “Accounting for Selection Effects in the Analysis of Wage Inequality in Germany” (grant number: BI 767/3-1 and FI 692/16-1)."	
"10419/152362"	"'10.13039/501100001691'"	"'Japan Society for the Promotion of Science (JP)'"	"This study was funded by the Japan Society for the Promotion of Science (grant number 15K17072)."	
"10419/195231"		"'Research Support Fund, University of Bio-Bio'"	"This study was funded by the Research Support Fund, University of Bio-Bio, Project DIUBB 1567172/RS and Project GI 160317/EF."	
"10419/197239"		"'CTI Commission of Technology and Innovation Switzerland'"	"This study was funded by the Swiss Federal Commission for Technology and Innovation (grant number KTI-Nr. 16978.1 PFES-ES) and by Compliant Concept, a private company. "	
"10419/197260"	"'10.13039/501100003193'"	"'Ministerstvo školstva, vedy, výskumu a športu Slovenskej republiky'"	"This study was funded by the VEGA Project No. 1/0846/18: “Evaluation of the efficiency of public procurement of selected commodities in healthcare facilities in the Slovak Republic” from The Ministry of Education, Science, Research and Sport of the Slovak Republic."	
"10419/149447"	"'10.13039/100007681'"	"'Florida International University (US)'"	"This study was partially funded by Florida International University, Dissertation Year Fellowship."	
"10419/195025"		"'Ministerie van Sociale Zaken en Werkgelegenheid'"	"This study was partially funded by the Dutch Ministry of Social Affairs and Employment."	
"10419/197286"		"'Aesculap AG'"	"This study was partly financed by Aesculap AG. In particular, the costs of conducting the time-study were refunded to the respective university insti- tute. The authors confirm that the results of this analysis were not influenced at all by this sponsoring."	
"10419/197229"		"'Hans Frisch Foundation, University Erlangen Nuremberg'"	"This study was partly financed by the Hans Frisch Foundation at the Friedrich Alexander University of Erlangen, Nuremberg."	
"10419/197274"	"'10.13039/501100003554', '10.13039/501100007132'"	"'Lundbeckfonden', 'Otsuka Pharmaceutical'"	"This study was sponsored by Otsuka Pharmaceutical Development & Commercialization, Inc. and Lundbeck GmbH. "	
"10419/175625"	"'10.13039/501100000024', '10.13039/501100000245'"	"'Canadian Institutes of Health Research', 'Michael Smith Foundation for Health Research'"	"This study was supported by a Canadian Institutes of Health Research (CIHR) operating grant (#231571). Wei Zhang was funded by the CIHR Doctoral Research Award in the Area of Public Health Research and is supported by the Michael Smith Foundation for Health Research Postdoctoral Fellowship Award."	
"10419/147821"		"'grant-in-aid from Zengin Foundation for Studies on Economics and Finance'"	"This study was supported by a grant-in-aid from Zengin Foundation for Studies on Economics and Finance [grant number 1002]."	
"10419/147212"		"'JSPS KAKENHI Grant'"	"This study was supported by JSPS KAKENHI Grant Number (25380346)."	
"10419/197236"	"'10.13039/501100004320'"	"'Shiraz University of Medical Sciences'"	"This study was supported by Shiraz University of Medical Science (grant no. 92–01–21-7009)."	
"10419/175589"	"'10.13039/501100000226'"	"'Ontario Ministry of Health and Long-Term Care', 'Health System Performance Research Network'"	"This study was supported by the Health System Performance Research Network (HSPRN grant # 06034) and the Institute for Clinical Evaluative Sciences (ICES) which are funded by the Ontario Ministry of Health and Long-Term Care."	
"10419/194303"		"'National Social Science Foundation of China'"	"This study was supported by the major project of China National Social Science Foundation No.15AZD022."	
"10419/178250"		"'Spanish Ministry of Economy and Competitiveness', 'Department of Universities, Research & Information Society of the Catalan Government'"	"This work has been partially supported by the Spanish Ministry of Economy and Competitiveness (grant TRA2013-48180-C3-P), FEDER, and the Ibero-American Programme for Science and Technology for Development (CYTED2014-515RT0489). Likewise we want to acknowledge the support received by the Department of Universities, Research & Information Society of the Catalan Government (Grant 2014-CTP-00001) and the CAN Foundation (Navarre, Spain) (Grant 3CAN2014-3758)."	
"10419/185052"	"'10.13039/100013405'"	"'Rijksdienst voor Ondernemend Nederland'"	"This work is based on the research supported in part by the National Research Foundation (NRF) of South Africa for the Grant No. 93649. "	
"10419/185053"	"'10.13039/501100001321'"	"'National Research Foundation'"	"This work is based on the research supported in part by the National Research Foundation (NRF) of South Africa for the Grant No. 93649. Any opinion, finding and conclusion or recommendation expressed in this material is that of the author(s) and the NRF does not accept any liability in this regard."	
"10419/178590"	"'10.13039/501100002428'"	"'Austrian Science Fund (FWF)'"	"This work is financed by the Austrian Science Fund (FWF) project no. P26289-N23"	
"10419/197475"		"'IDRC, Canada'"	"This work is funded by the IDRC/DFID/William and Flora Hewlett Foundation as part of the Growth and Economic Opportunities for Women (GrOW) programme. We are grateful for this support."	
"10419/205932"	"'10.13039/501100001700'"	"'Ministry of Education, Culture, Sports, Science and Technology', 'GCOE Meiji University', 'Meiji University Global Center of Excellence (GCOE) Program'"	"This work is jointly supported by the Meiji University Global Center of Excellence (GCOE) Program and MEXT scholarship (Monbukagakusho)."	
"10419/188965"	"'10.13039/501100004586'"	"'Fundação Carlos Chagas Filho de Amparo à Pesquisa do Estado do Rio de Janeiro'"	"This work is supported by Faperj (Carlos Chagas Filho Foundation for Support to Research in the State of Rio de Janeiro), through Award #E-26/190.280/2012."	
"10419/176397"	"'10.13039/501100014219', '10.13039/501100001809'"	"'National Science Fund for Distinguished Young Scholars', 'National Natural Science Foundation of China'"	"This work is supported by grants from the National Science Fund for Distinguished Young Scholars (NSFC No. 71025005), the National Natural Science Foundation of China (NSFC No. 71433001 and NSFC No. 71301006), the National Program for Support of Top-Notch Young Professionals and the Fundamental Research Funds for the Central Universities in BUCT."	
"10419/195661"	"'10.13039/501100001809', '10.13039/501100004735'"	"'National Natural Science Foundation of China', 'Natural Science Foundation of Hunan Province'"	"This work is supported by National Natural Science Foundation of China (Grant No. 71503078)."	
"10419/176470"	"'10.13039/501100001809'"	"'National Natural Science Foundation of China', 'Hong Kong RGC'"	"This work is supported by Research Grants Council of Hong Kong under grant no. 519913 and 15224215, and National Natural Science Foundation of China (No.11571124)."	
"10419/205982"	"'10.13039/501100001809'"	"'National Natural Science Foundation of China'"	"This work is supported by the grant of Natural Science Foundation of China [grant numbers 71301021 and 71431002]."	
"10419/176445"	"'10.13039/501100001809'"	"'National Natural Science Foundation of China'"	"This work is supported by the National Natural Science Foundation of China (71320107003 and 71532009)."	
"10419/167887"	"'10.13039/501100007390'"	"'National Science Centre'"	"This work is under support from the Risk Analysis, Ruin and Extremes (RARE)-318984 project, a Marie Curie IRSES Fellowship within the 7th European Community Framework Programme. Zbigniew Palmowski kindly acknowledges the support from the National Science Centre under the grant 2015/17/B/ST1/01102. "	
"10419/196996"	"'10.13039/501100001809', '10.13039/501100013286'"	"'National Natural Science Foundation of China', 'Specialized Research Fund for the Doctoral Program of Higher Education of China', 'Joint Research of The NSFC-NRF Scientific Cooperation Program'"	"This work supported by the National Research Foundation of Korea Grant funded by the Korean Government (NRF-2014S1A2A2027622), and supported in part by the National Natural Science Foundation of China under grants 71471076, 71171099, and 71201071, and by the Joint Research of The NSFC-NRF Scientific Cooperation Program under grant 71411170250. This work was also sponsored by Qing Lan Project and 333 Project of Jiangsu Province, and Jiangsu University Top Talents Training Project."	
"10419/182015"		"'CGIAR Fund Council - Root, Tubers and Banana Program', 'Belgian Directorate General of Development Cooperation (DGDC)'"	"This work was carried out under the framework of the Consortium for Improving Agricultural Livelihoods in Central Africa (CIALCA), which is funded by the Belgian Directorate General for Development Cooperation and Humanitarian Aid (DGD). CIALCA forms part of the CGIAR Research Program on Integrated Systems for the Humid Tropics (Humidtropics), and the CGIAR Research Program on Roots, Tubers and Bananas (RTB). We would like to acknowledge Humidtropics, RTB, and the CGIAR Fund Donors (http://hdl.handle.net/10947/2993) for their provision of core funding without which this research would not have been possible. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."	
"10419/200120"		"'European Union’s Horizon 2020', 'German Federal Ministry of Education and Research'"	"This work was carried out within the European Union’s Horizon 2020 research project RealValue (grant agreement No. 646116). An- dreas Bloess kindly acknowledges financial support by the Friedrich Naumann Foundation for Freedom with funds provided by the German Federal Ministry of Education and Research."	
"10419/194740"	"'10.13039/501100001807', '10.13039/501100003593'"	"'Fundação de Amparo à Pesquisa do Estado de São Paulo', 'Conselho Nacional de Desenvolvimento Científico e Tecnológico'"	"This work was financially supported by from CNPq [grant number 309158/2016-8] and FAPESP [grant number 2013/22930-0]."	
"10419/205864"	"'10.13039/501100004481'"	"'University of Tehran'"	"This work was financially supported by the College of Agriculture and Natural Resources, University of Tehran."	
"10419/205930"		"'MAKERERE UNIVERSITY BUSINESS SCHOOL'"	"This work was financially supported by the Makerere University Business School."	
"10419/201524"	"'10.13039/501100000266'"	"'Engineering and Physical Sciences Research Council'"	"This work was funded by Becas Chile and the UK Engineering and Physical Sciences Research Council (EPSRC, grant no. EP/K011820/1)."	
"10419/187906"	"'10.13039/501100000270'"	"'Natural Environment Research Council', 'Environment and Food Security Ph.D. studentship from the University of Aberdeen', 'Marine Collaboration Research Forum'"	"This work was funded by the Environment and Food Secu- rity Ph.D. studentship from the University of Aberdeen, the Nat- ural Environment Research Council and Department for Envi- ronment, Food, and Rural Affairs (NE/J004308/1, NE/J004200/1, NE/J004332/1), and the Marine Collaboration Research Forum. "	
"10419/205906"		"'Government of Indonesia'"	"This work was funded by the Government of Indonesia."	
"10419/170683"		"'Humidtropics CGIAR Research Program', 'CIALCA Rwanda, Burundi and DRC'"	"This work was funded under the framework of the Consortium for Improving Agricultural Livelihoods in Central Africa (CIALCA), which is funded by the Belgian Directorate General for Development Cooperation and Humanitarian Aid (DGD). CIALCA forms part of the CGIAR Research Program on Integrated Systems for the Humid Tropics (Humidtropics), and the CGIAR Research Program on Roots, Tubers and Bananas (RTB). We would like to acknowledge Humidtropics, RTB, and the CGIAR Fund Donors (http://www.cgiar.org/about-us/governing-2010- june-2016/cgiar-fund/fund-donors-2/) for their provision of core funding without which this research could not have been possible. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."	
"10419/167906"	"'10.13039/100000893', '10.13039/501100000003', '10.13039/501100001659'"	"'Simons Foundation', 'ARC', 'DFG'"	"This work was partially supported by Simons Foundation Grant #226863, ARC Grant DP1092502, DFG grant SZ/321/2-1 and the ARC Centre of Excellence for Mathematical and Statistical Frontiers (ACEMS)."	
"10419/171851"	"'10.13039/100006445'"	"'National Science Foundation'"	"This work was partially supported by the U.S. National Science Foundation Grant DMS-1106576. We thank the Minnesota Supercomputing Institute for providing computing resources."	
"10419/195110"	"'10.13039/100010668'"	"'H2020 Leadership in Enabling and Industrial Technologies'"	"This work was partly funded by the European Commission through the Project ERN: “The European Remanufacturing Network - Coordinating and Supporting European Remanufacturers"", Grant agree- ment no: 645984."	
"10419/197258"		"'JSPS Kakenhi Grant', 'The Focused Research of Osaka Sangyo University', 'JSPS Kakenhi Grant', 'The Focused Research of Osaka Sangyo University'"	"This work was partly supported by JSPS Kakenhi Grant Number 17KO3637 (Fujii) 26705004 (Osaki) and The Focused Research of Osaka Sangyo University (Fujii and Osaki)."	
"10419/194922"	"'10.13039/501100001691'"	"'Japan Society for the Promotion of Science'"	"This work was supported by a Japan Society for the Promotion of Science (JSPS) Grant‐in‐Aid for Scientific Research (KAKENHI) 16K01236."	
"10419/194938"	"'10.13039/501100001691'"	"'Japan Society for the Promotion of Science'"	"This work was supported by a JSPS KAKENHI Grant (No. 19510049). "	
"10419/200211"	"'10.13039/100010663'"	"'H2020 European Research Council'"	"This work was supported by a Starting Grant from the European Research Council [Grant Num- ber 313532]."	
"10419/205866"		"'Achraf Ghorbel'"	"This work was supported by Achraf Ghorbel. "	
"10419/205895"	"'10.13039/501100007260', '10.13039/501100005416', '10.13039/501100007260', '10.13039/501100004787'"	"'Aust-Agder Utviklings- og Kompetansefond', 'Norges Forskningsråd', 'Aust-Agder Utviklings- og Kompetansefond', 'The Research Council'"	"This work was Supported by Aust-Agder Utviklings- og Kompetansefond [grant number 2012/45]; The Research Council of Norway [grant number 233737]."	
"10419/205902"		"'Chidinma Nwamaka Ozuomba'"	"This work was supported by Chidinma Nwamaka Ozuomba [grant number 08038662767]."	
"10419/180096"	"'10.13039/501100002301', '10.13039/501100004963'"	"'Eesti Teadusagentuur', 'Seventh Framework Programme'"	"This work was supported by Eesti Teadusagentuur [grant number IUT20-49] and European Union Seventh Framework Programme [grant number 613256]."	
"10419/197262"	"'10.13039/100006676'"	"'Lilly Deutschland'"	"This work was supported by Eli Lilly and Company, who played a role in the design of the study; collection, analysis and interpretation of the data; and preparation, review, and approval of the manuscript."	
"10419/147769"		"'Forum For Agricultural Research in Africa'"	"This work was supported by Forum For Agricultural Research in Africa."	
"10419/150486"	"'10.13039/501100000024'"	"'Canadian Institutes of Health Research', 'Health System Performance Research Network'"	"This work was supported by funding from the Health System Performance Research Network (MOHLTC Grant No. 06034) and by a grant from the Canadian Institute for Health Research (CIHR grant 84310). We would like to acknowledge Statistics Canada for granting data access and helpful comments and suggestions provided by Dr. Whitney Berta and Dr. Courtney Van Houtven."	
"10419/194724"	"'10.13039/501100007114', '10.13039/501100001321'"	"'African Institute for Mathematical Sciences', 'National Research Foundation', 'ACQuFRR'"	"This work was supported by funds from the National Research Foundation of South Africa (NRF), the African Institute for Mathematical Sciences (AIMS) and the African Collaboration for Quantitative Finance and Risk Research (ACQuFRR) which is the research section of the African Institute of Financial Markets and Risk Management (AIFMRM), which delivers postgraduate education and training in financial markets, risk management and quantitative finance at the University of Cape Town in South Africa."	
"10419/194671"	"'10.13039/501100007114', '10.13039/501100001321'"	"'African Institute for Mathematical Sciences', 'National Research Foundation', 'ACQuFRR'"	"This work was supported by funds from the National Research Foundation of South Africa (NRF), the African Institute for Mathematical Sciences (AIMS) and the African Collaboration for Quantitative Finance and Risk Research (ACQuFRR) which is the research section of the African Institute of Financial Markets and Risk Management (AIFMRM), which delivers postgraduate education and training in financial markets, risk management and quantitative finance at the University of Cape Town in South Africa."	
"10419/216679"	"'10.13039/501100003725'"	"'National Research Foundation of Korea'"	"This work was supported by Global Research Network program through the Ministry of Education of the Republic of Korea and the National Research Foundation of Korea (NRF‐2016S1A2A2912272)."	
"10419/181366"	"'10.13039/501100001824', '10.13039/501100001664'"	"'Grantová Agentura České Republiky', 'Leibniz-Gemeinschaft', 'Charles University Research Centre Programme'"	"This work was supported by Grantová Agentura České Republiky [Grant Number Project 17-10543S]; Leibniz- Gemeinschaft [Grant Number SAW-2012-WZB-3]; Charles University Research Centre Programme [Grant Number UNCE/HUM/028]."	
"10419/175611"	"'10.13039/501100004663'"	"'Ministry of Science and Technology, Taiwan', 'Ministry of Science and Technology, Taiwan (TW)'"	"This work was supported by grants from the Ministry of Science and Technology of Taiwan (Grant no. MOST 103-2410-H-006 -086, MOST104- 2410-H-006-109, MOST104-2314-B-006-023 and MOST105-2410-H-006-091) and was, in part, supported by the Ministry of Education, Taiwan, The Aim for the Top University Project to the National Cheng Kung University (NCKU)."	
"10419/194685"	"'10.13039/501100004681'"	"'Higher Education Commission, Pakistan'"	"This work was supported by Higher Education Commission, Pakistan [grant number 1992]."	
"10419/194709"		"'International Science program/EAUMP'"	"This work was supported by International Science program/EAUMP."	
"10419/205862"		"'ISLAMIC RESEARCH AND TRAINING INSTITUTE, ISLAMIC DEVELOPMENT BANK, JEDDAH, KSA'"	"This work was supported by Islamic Research and Training Institute, Islamic Development Bank, Jeddah, KSA."	
"10419/188975"	"'10.13039/501100001691'"	"'Japan Society for the Promotion of Science'"	"This work was supported by JSPS KAKENHI Grant Number JP26245048."	
"10419/179162"	"'10.13039/501100000646'"	"'Japan Society for the Promotion of Science'"	"This work was supported by JSPS KAKENHI Grants number JP23530231 and JP26380247. JSPS: Japan Society for the Promotion of Science. KAKENHI: Grants-in-Aid for Scientific Research."	
"10419/205830"	"'10.13039/100010049'"	"'Kingston University'"	"This work was supported by Kingston University."	
"10419/194692"	"'10.13039/501100005875'"	"'Kulttuurin ja Yhteiskunnan Tutkimuksen Toimikunta'"	"This work was supported by Kulttuurin ja Yhteiskunnan Tutkimuksen Toimikunta [grant number 285736]."	
"10419/194655"		"'Masters' Scholarship', 'Masters’ Scholarship', 'Netherlands Fellowship Program'"	"This work was supported by Masters’ Scholarship and Netherlands Fellowship Program."	
"10419/180106"	"'10.13039/501100004281'"	"'Narodowe Centrum Nauki'"	"This work was supported by Narodowe Centrum Nauki: [2014/13/B/HS4/00209]."	
"10419/205931"	"'10.13039/501100001809'"	"'National Natural Science Foundation of China'"	"This work was supported by National Natural Science Foundation of China (NSFC) [grant number 71572033, 71172174]."	
"10419/194708"	"'10.13039/501100001321'"	"'National Research Foundation'"	"This work was supported by National Research Foundation [grant number 110371]."	
"10419/180099"	"'10.13039/501100004281'"	"'Narodowe Centrum Nauki'"	"This work was supported by National Science Centre of Poland [DEC-2013/11/B/HS4/01040]."	
"10419/194725"	"'10.13039/501100005416'"	"'Norges Forskningsråd'"	"This work was supported by Norges forskningsråd [grant number 237674]."	
"10419/194635"	"'10.13039/501100005416'"	"'Norges Forskningsråd'"	"This work was supported by Norges Forskningsråd."	
"10419/194661"		"'NRU HSE Laboratory for Macro-Structural Modeling of the Russian Economy'"	"This work was supported by NRU HSE Laboratory for Macro- Structural Modeling of the Russian Economy."	
"10419/206097"		"'Arsi University'"	"This work was supported by the Arsi University [01/2008]."	
"10419/206070"		"'Asare Yaw Obeng'"	"This work was supported by the Asare Yaw Obeng [175476288]."	
"10419/206115"		"'Bana väg för framtiden BVFF'"	"This work was supported by the Bana väg för framtiden BVFF [2013-078];"	
"10419/176507"	"'10.13039/501100003708'"	"'Korea Institute of Science and Technology Information (KR)', 'Daegu Gyeongbuk Institute of Science and Technology(KR)'"	"This work was supported by the Daegu Gyeongbuk Institute of Science and Technology(DGIST) and the Korea Institute of Science and Technology Information(KISTI) Under the Ministry of Science, ICT & Future Planning of Korea."	
"10419/209706"	"'10.13039/501100001659', '10.13039/501100000923'"	"'Deutsche Forschungsgemeinschaft', 'Australian Research Council'"	"This work was supported by the Deutsche Forschungsgemein- schaft Grant MO 2041/2-1 to C.M. and an Australian Research Council Discovery Project grant DP160103353 to S.B."	
"10419/200147"	"'10.13039/501100002301'"	"'Eesti Teadusagentuur'"	"This work was supported by the Estonian Research Council under Grant MOBTP11."	
"10419/197254"	"'10.13039/501100000780'"	"'European Union'"	"This work was supported by the European Union [527658 – LLP-1-2012-1- DE-ERASMUS-ESMO]. Henrike Schulze, Marisa Nacke and Catarina Hadamitzky were co-financed by this institution. This study presents the work of inde- pendent scientists and does not necessarily reflect the views of the European Commission or its services."	
"10419/206068"	"'10.13039/501100004901'"	"'Fundação de Amparo à Pesquisa do Estado de Minas Gerais'"	"This work was supported by the FAPEMIG – Foundation of Research Support of Minas Gerais State [CSA - APQ- 02728-16]."	
"10419/214646"		"'German Ministry for Education and Research'"	"This work was supported by the German Ministry for Education and Research (BMBF) under Grant No. 01LN1704A (CoalExit)."	
"10419/215496"	"'10.13039/501100002347'"	"'Bundesministerium für Bildung und Forschung'"	"This work was supported by the German Ministry for Education and Research (BMBF) under grant number 01LN1704A (CoalExit)."	
"10419/203117"		"'German Ministry for Education and Research (BMBF)'"	"This work was supported by the German Ministry for Education and Research (BMBF) under grant number 01LN1704A for the research group CoalExit and under grant number 01LA1810A for the research project
“Future of Fossil Fuels in the wake of greenhouse gas neutrality”."	
"10419/214633"	"'10.13039/501100002347'"	"'Bundesministerium für Bildung und Forschung'"	"This work was supported by the German Ministry for Education and Research (BMBF) under grant numbers 01LN1704A and 01LA1810A."	
"10419/184751"	"'10.13039/501100001659'"	"'Deutsche Forschungsgemeinschaft'"	"This work was supported by the German Research Foundation (DFG) [285911066]."	
"10419/194767"	"'10.13039/501100001691'"	"'Japan Society for the Promotion of Science'"	"This work was supported by the Grant-in-Aid for JSPS Fellows 231657 from the Japan Society for the Promotion of Science."	
"10419/147814"		"'The Grants-in-Aid for Scientific Research'"	"This work was supported by the Grants-in-Aid for Scientific Research [grant number 22530238], [grant number 25380320]."	
"10419/168001"	"'10.13039/501100001665', '10.13039/501100004795'"	"'Agence Nationale de la Recherche', 'Institut Universitaire de France'"	"This work was supported by the Institut Universitaire de France, the ANR-10-LABX-0087 IEC and ANR-10-IDEX-001-02PSL* grants."	
"10419/161791"		"'ISTAC, International Islamic University Malaysia'"	"This work was supported by the ISTAC (International Institute of Islamic Thought and Civilization) Research Fund of International Islamic University Malaysia. The authors are grateful to ISTAC of International Islamic University for financial support."	
"10419/176446"		"'the Key Project of National Social Science Foundation'"	"This work was supported by the Key Plan of National Social Science Foundation of China under the Grant 14ZDA044."	
"10419/194826"	"'10.13039/100012554'"	"'Hubei Provincial Department of Education'"	"This work was supported by the key project of scientific research sponsorship programme of Hubei Province, China: Governance on Farmers’ Pesticide Use Behaviour: A Social Network Analysis Perspective (ID: D20151706)."	
"10419/194784"	"'10.13039/501100003286'"	"'Kuwait Foundation for the Advancement of Sciences'"	"This work was supported by the Kuwait Foundation for the Advancement of Science (KFAS) [P115-17IF-02]."	
"10419/194660"		"'Laboratoire de Recherche en Economie, Management et Finance Quantitative'"	"This work was supported by the Laboratoire de Recherche en Economie, Management et Finance Quantitative."	
"10419/167944"	"'10.13039/501100000275', '10.13039/100004440'"	"'Leverhulme Trust', 'Wellcome Trust'"	"This work was supported by the Leverhulme Trust grant RPG-2014-075 and Wellcome Trust Senior Investigator Award WT106931MA to B.L."	
"10419/197281"	"'10.13039/501100007192'"	"'Rijksinstituut voor Volksgezondheid en Milieu'"	"This work was supported by the National Institute for Public Health and the Environment (RIVM), The Netherlands [HEC, S/133003, 2015–2018]."	
"10419/195816"	"'10.13039/501100001809'"	"'National Natural Science Foundation of China'"	"This work was supported by the National Natural Science Foundation of China (No.11571189)."	
"10419/180083"		"'National Science Center, Poland'"	"This work was supported by the National Science Center, granted by Decision no. 2013/09/D/ HS4/01051."	
"10419/209578"	"'10.13039/100000088'"	"'Directorate for Social, Behavioral and Economic Sciences'"	"This work was supported by the National Science Foundation (NSF), Directorate for Social, Behavioral and Economic Sciences (NSF Dissertation Improvement grant # 1029324)."	
"10419/206005"	"'10.13039/501100000038'"	"'Natural Sciences and Engineering Research Council of Canada'"	"This work was supported by the Natural Sciences and Engineering Council of Canada (NSERC), Strategic Network on Value Chain Optimization (VCO)."	
"10419/194738"	"'10.13039/501100005416'"	"'Norges Forskningsråd'"	"This work was supported by the Norges Forskningsråd [grant number 237674]."	
"10419/194631"		"'NSF'"	"This work was supported by the NSF [grant number SMA 1358847]."	
"10419/180085"		"'the Polish National Science Centre (NCN)'"	"This work was supported by the Polish National Science Centre [6752/B/H03/2011/40]."	
"10419/180084"	"'10.13039/501100000783'"	"'Research Executive Agency'"	"This work was supported by the Research Executive Agency of the European Commission [grant number 611259]."	
"10419/194796"		"'Shiekh Al-Fouzan Macroeconomic Forecasting Chair (SMFChair) at Imam Mohammad Ibn Saud Islamic University, Riyadh, Saudi Arabia'"	"This work was supported by the Shiekh Al-Fouzan Macroeconomic Forecasting Chair (SMFChair) at Imam Mohammad Ibn Saud Islamic University, Riyadh, Saudi Arabia [2015]."	
"10419/206125"		"'Spanish Ministry of Education, Culture and Sport, under the “José Castillejo” Mobility Grant Program and the Fulbright Commission'"	"This work was supported by the Spanish Ministry of Education, Culture and Sport, under the “José Castillejo” Mobility Grant Program and the Fulbright Commission [CAS15/00297]."	
"10419/206041"	"'10.13039/501100013178'"	"'Trafikverket'"	"This work was supported by the Swedish Transport Administration."	
"10419/206082"		"'Taylor’s University, Malaysia'"	"This work was supported by the Taylor’s University Malaysia [PhD Fellowship-1101V75847]."	
"10419/205898"		"'Thai Studies Field Research Grant, the Royal Thai Embassy and the Asia Institute at the University of Melbourne'"	"This work was supported by the Thai Studies Field Research Grant from the Royal Thai Embassy and the Asia Institute, University of Melbourne."	
"10419/205984"		"'UIU Research Grants'"	"This work was supported by the UIU Research Grants, 2016 [grant number UIU-RG-161005]."	
"10419/206093"	"'10.13039/501100012637'"	"'University of the East'"	"This work was supported by the University of the East."	
"10419/175588"	"'10.13039/501100003194'"	"'Agentúra Ministerstva školstva, vedy, výskumu a športu SR'"	"This work was supported by the VEGA Project No. 1/0929/14 “Multidimensional economic and financial evaluation of the implementation process and the use of 1 day health care and quantification of the financial impact on the health care system in the Slovak Republic”."	
"10419/207027"	"'10.13039/501100005908'"	"'Bundesministerium für Ernährung und Landwirtschaft', 'The Global Food Crisis – Impact on Wheat Markets and Trade in the Caucasus and Central Asia and the Role of Kazakhstan, Russia and Ukraine', 'Global Food Security and the Grain Markets in Russia, Ukraine and Kazakhstan'"	"This work was supported by the Volkswagen Foundation through the MATRACC project ‘The Global Food Crisis – Impact on Wheat Markets and Trade in the Caucasus and Central Asia and the Role of Kazakhstan, Russia and Ukraine’; the Federal Ministry of Food and Agriculture (BMEL) and the Federal Office for Agriculture and Food (BLE) through the GERUKA project ‘Global Food Security and the Grain Markets in Russia, Ukraine and Kazakhstan’; and the German Academic Exchange Service (DAAD)."	
"10419/206538"	"'10.13039/501100001663', '10.13039/501100005908', '10.13039/501100010473', '10.13039/501100010771', '10.13039/501100001655'"	"'Volkswagen Foundation', 'Bundesministerium für Ernährung und Landwirtschaft', 'Bundesamt für Landwirtschaft', 'Bundesanstalt für Landwirtschaft und Ernährung', 'Deutscher Akademischer Austauschdienst'"	"This work was supported by the Volkswagen Foundation through the MATRACC project ‘The Global Food Crisis – Impact on Wheat Markets and Trade in the Caucasus and Central Asia and the Role of Kazakhstan, Russia and Ukraine’; the Federal Ministry of Food and Agriculture (Bundesministerium für Ernährung und Landwirtschaft, Germany) and the Federal Office for Agriculture and Food (Bundesanstalt für Landwirtschaft und Ernährung, Germany) through the GERUKA project ‘Global Food Security and the Grain Markets in Russia, Ukraine and Kazakhstan’; and the German Academic Exchange Service (Deutscher Akademischer Austauschdienst, Germany)."	
"10419/194905"	"'10.13039/501100001691'"	"'Japan Society for the Promotion of Science', 'Tokyo International University'"	"This work was supported by Tokyo International University Grant for Special Research Projects 2015 and JSPS KAKENHI Grant (No. 16K03648)."	
"10419/146850"		"'The John Mung Program in Kyoto University', 'The Astellas Foundation for Research on Metabolic Disorders'"	"This work was supported by two foundations: the John Mung Program in Kyoto University and the Astellas Foundation for Research on Metabolic Disorders."	
"10419/194651"	"'10.13039/100008722'"	"'Universitat de Girona'"	"This work was supported by Universitat de Girona."	
"10419/205883"	"'10.13039/501100004481'"	"'University of Tehran'"	"This work was supported by University of Tehran. [grant number 881021]."	
"10419/205833"		"'UPM'"	"This work was supported by University Putra Malaysia (UPM)."	
"10419/194912"		"'JSPS KAKENHI', 'The Environmental Research & Technology Development Fund of the Japanese Ministry of Environment'"	"This work was supported in part by JSPS KAKENHI (Grant Numbers 16K16231, 16H01797); The Environment Research & Technology Development Fund of the Japanese Ministry of Environment [Grant Number 1-1601]."	
