	Index	handle	page_n	ne	type_ne	crossref_doi	crossref_phrase	pdf_phrase	funder	matched_funder
147	255	10419/167935	21	ICT		'10.13039/100000893', '10.13039/501100003725'	'Simons Foundation', 'National Research Foundation of Korea'	S. N. Ethier is partially supported by a grant from the Simons Foundation (209632) and J. Lee is supported by the Basic Science Research Program through the National Research Foundation of Korea (NRF) funded by the Ministry of Science, ICT & Future Planning (No. 2013R1A1A3A04007670).	Y	FP7 Information and Communication Technologies (Belgium) (ICT (Belgium)); doi:10.13039/100011273; 90.00
148	257	10419/167937	17	John Templeton Foundation		'10.13039/100000925'	'John Templeton Foundation'	Funding from the John Templeton Foundation is also gratefully acknowledged.	Y	John Templeton Foundation (United States); doi:10.13039/100000925; 90.00
149	258	10419/167944	9	Leverhulme Trust		'10.13039/501100000275', '10.13039/100004440'	'Leverhulme Trust', 'Wellcome Trust'	This work was supported by the Leverhulme Trust grant RPG-2014-075 and Wellcome Trust Senior Investigator Award WT106931MA to B.L.	Y	Leverhulme Trust (United Kingdom); doi:10.13039/501100000275; 90.00
150	259	10419/167944	9	RPG-2014 - 075		'10.13039/501100000275', '10.13039/100004440'	'Leverhulme Trust', 'Wellcome Trust'	This work was supported by the Leverhulme Trust grant RPG-2014-075 and Wellcome Trust Senior Investigator Award WT106931MA to B.L.	Y	
151	263	10419/167955	13	John Templeton Foundation		'10.13039/501100002428'	'Austrian Science Fund'	Support from the John Templeton Foundation is gratefully acknowledged. Christian Hilbe acknowledges generous funding by the Schrödinger scholarship of the Austrian Science Fund (FWF) J3475.	Y	John Templeton Foundation (United States); doi:10.13039/100000925; 90.00
152	264	10419/167955	13	Austrian Science Fund		'10.13039/501100002428'	'Austrian Science Fund'	Support from the John Templeton Foundation is gratefully acknowledged. Christian Hilbe acknowledges generous funding by the Schrödinger scholarship of the Austrian Science Fund (FWF) J3475.	Y	Austrian Science Fund (Austria); doi:10.13039/501100002428; 95.00
153	265	10419/167955	13	FWF		'10.13039/501100002428'	'Austrian Science Fund'	Support from the John Templeton Foundation is gratefully acknowledged. Christian Hilbe acknowledges generous funding by the Schrödinger scholarship of the Austrian Science Fund (FWF) J3475.	Y	National Fish and Wildlife Foundation (United States) (NFWF (United States)); doi:10.13039/100007430; 90.00
154	267	10419/167959	13	National Science Foundation		'10.13039/100006445'	'National Science Foundation'	This research was funded by the National Science Foundation (grant #1257138). 	Y	United States - Israel Binational Science Foundation (Israel); doi:10.13039/100006221; 90.00
155	268	10419/167960	11	Austrian Science Fund		'10.13039/501100002428', '10.13039/501100000646', '10.13039/501100001809'	'Austrian Science Fund', 'Japan Society for the Promotion of Science', 'National Natural Science Foundation of China'	T.S. was supported by the Austrian Science Fund (FWF): P27018-G11. I.O. acknowledges support by Grants-in-aid for Scientific Research from the Japan Society for the Promotion of Science 26330387. X.C. was supported by the National Natural Science Foundation of China (Grants No. 61503062 and 61203374) and the Fundamental Research Funds of the Central Universities of China.	Y	Austrian Science Fund (Austria); doi:10.13039/501100002428; 95.00
156	269	10419/167960	11	Scientiﬁc Research		'10.13039/501100002428', '10.13039/501100000646', '10.13039/501100001809'	'Austrian Science Fund', 'Japan Society for the Promotion of Science', 'National Natural Science Foundation of China'	T.S. was supported by the Austrian Science Fund (FWF): P27018-G11. I.O. acknowledges support by Grants-in-aid for Scientific Research from the Japan Society for the Promotion of Science 26330387. X.C. was supported by the National Natural Science Foundation of China (Grants No. 61503062 and 61203374) and the Fundamental Research Funds of the Central Universities of China.	Y	
157	270	10419/167960	11	National Natural Science Foundation of China		'10.13039/501100002428', '10.13039/501100000646', '10.13039/501100001809'	'Austrian Science Fund', 'Japan Society for the Promotion of Science', 'National Natural Science Foundation of China'	T.S. was supported by the Austrian Science Fund (FWF): P27018-G11. I.O. acknowledges support by Grants-in-aid for Scientific Research from the Japan Society for the Promotion of Science 26330387. X.C. was supported by the National Natural Science Foundation of China (Grants No. 61503062 and 61203374) and the Fundamental Research Funds of the Central Universities of China.	Y	National Natural Science Foundation of China (China); doi:10.13039/501100001809; 95.00
158	271	10419/167960	11	Central Universities of China		'10.13039/501100002428', '10.13039/501100000646', '10.13039/501100001809'	'Austrian Science Fund', 'Japan Society for the Promotion of Science', 'National Natural Science Foundation of China'	T.S. was supported by the Austrian Science Fund (FWF): P27018-G11. I.O. acknowledges support by Grants-in-aid for Scientific Research from the Japan Society for the Promotion of Science 26330387. X.C. was supported by the National Natural Science Foundation of China (Grants No. 61503062 and 61203374) and the Fundamental Research Funds of the Central Universities of China.	Y	Fundamental Research Funds for the Central Universities (China) (Fundamental Research Funds for the Central Universities of China (China)); doi:10.13039/501100012226; 90.00
159	272	10419/167960	11	FWF		'10.13039/501100002428', '10.13039/501100000646', '10.13039/501100001809'	'Austrian Science Fund', 'Japan Society for the Promotion of Science', 'National Natural Science Foundation of China'	T.S. was supported by the Austrian Science Fund (FWF): P27018-G11. I.O. acknowledges support by Grants-in-aid for Scientific Research from the Japan Society for the Promotion of Science 26330387. X.C. was supported by the National Natural Science Foundation of China (Grants No. 61503062 and 61203374) and the Fundamental Research Funds of the Central Universities of China.	Y	National Fish and Wildlife Foundation (United States) (NFWF (United States)); doi:10.13039/100007430; 90.00
160	273	10419/167977	23	MURI grant		'10.13039/100010497'	'MURI'	This research is supported by MURI grant W911NF-11-1-0332. We thank Armorway. Inc. for helping generate the software.	Y	
161	276	10419/167981	13	JSPS KAKENHI Grant Number JP 13J05595		'10.13039/501100000646'	'Japan Society for the Promotion of Science'	M.N. acknowledges support by JSPS KAKENHI Grant Number JP 13J05595. H.O. acknowledges support by JSPS KAKENHI Grant Number JP 25118006.	Y	
162	276	10419/167981	13	JSPS KAKENHI Grant Number JP 13J05595		'10.13039/501100000646'	'Japan Society for the Promotion of Science'	M.N. acknowledges support by JSPS KAKENHI Grant Number JP 13J05595. H.O. acknowledges support by JSPS KAKENHI Grant Number JP 25118006.	Y	
163	276	10419/167981	13	JSPS KAKENHI Grant Number JP 13J05595		'10.13039/501100000646'	'Japan Society for the Promotion of Science'	M.N. acknowledges support by JSPS KAKENHI Grant Number JP 13J05595. H.O. acknowledges support by JSPS KAKENHI Grant Number JP 25118006.	Y	
164	288	10419/168001	14	Institut Universitaire de France		'10.13039/501100001665', '10.13039/501100004795'	'Agence Nationale de la Recherche', 'Institut Universitaire de France'	This work was supported by the Institut Universitaire de France, the ANR-10-LABX-0087 IEC and ANR-10-IDEX-001-02PSL* grants.	Y	Institut Universitaire de France (France); doi:10.13039/501100004795; 95.00
165	289	10419/168001	14	IEC		'10.13039/501100001665', '10.13039/501100004795'	'Agence Nationale de la Recherche', 'Institut Universitaire de France'	This work was supported by the Institut Universitaire de France, the ANR-10-LABX-0087 IEC and ANR-10-IDEX-001-02PSL* grants.	Y	Institute on Ethnicity, Culture, and the Modern Experience, Rutgers University (United States) (IECME (United States)); doi:10.13039/100005917; 90.00
166	290	10419/168005	12	OPEN RIA		'10.13039/501100000780'	'European Commission'	 M.P. acknowledges support from the project H2020 FET OPEN RIA IBSEN/662725 and the Institute of Physics of Cantabria (IFCA-CSIS) for providing access to the Altamira supercomputer. D.V. acknowledges support from H2020 FETPROACT-GSS CIMPLEX Grant No. 641191, which funded the publication of this article and the CNR (Consiglio Nazionale delle Ricerche) for the Short Term Mobility Program 2016, which funded his stay at the Universidad Carlos III de Madrid where this work was accomplished.	Y	
167	290	10419/168005	12	OPEN RIA		'10.13039/501100000780'	'European Commission'	 M.P. acknowledges support from the project H2020 FET OPEN RIA IBSEN/662725 and the Institute of Physics of Cantabria (IFCA-CSIS) for providing access to the Altamira supercomputer. D.V. acknowledges support from H2020 FETPROACT-GSS CIMPLEX Grant No. 641191, which funded the publication of this article and the CNR (Consiglio Nazionale delle Ricerche) for the Short Term Mobility Program 2016, which funded his stay at the Universidad Carlos III de Madrid where this work was accomplished.	Y	
168	291	10419/168005	12	Altamira supercomputer		'10.13039/501100000780'	'European Commission'	 M.P. acknowledges support from the project H2020 FET OPEN RIA IBSEN/662725 and the Institute of Physics of Cantabria (IFCA-CSIS) for providing access to the Altamira supercomputer. D.V. acknowledges support from H2020 FETPROACT-GSS CIMPLEX Grant No. 641191, which funded the publication of this article and the CNR (Consiglio Nazionale delle Ricerche) for the Short Term Mobility Program 2016, which funded his stay at the Universidad Carlos III de Madrid where this work was accomplished.	Y	
169	292	10419/168005	12	FET		'10.13039/501100000780'	'European Commission'	 M.P. acknowledges support from the project H2020 FET OPEN RIA IBSEN/662725 and the Institute of Physics of Cantabria (IFCA-CSIS) for providing access to the Altamira supercomputer. D.V. acknowledges support from H2020 FETPROACT-GSS CIMPLEX Grant No. 641191, which funded the publication of this article and the CNR (Consiglio Nazionale delle Ricerche) for the Short Term Mobility Program 2016, which funded his stay at the Universidad Carlos III de Madrid where this work was accomplished.	Y	H2020 Future and Emerging Technologies (Belgium) (FET (Belgium)); doi:10.13039/100010664; 90.00
170	295	10419/168005	12	CSIS		'10.13039/501100000780'	'European Commission'	 M.P. acknowledges support from the project H2020 FET OPEN RIA IBSEN/662725 and the Institute of Physics of Cantabria (IFCA-CSIS) for providing access to the Altamira supercomputer. D.V. acknowledges support from H2020 FETPROACT-GSS CIMPLEX Grant No. 641191, which funded the publication of this article and the CNR (Consiglio Nazionale delle Ricerche) for the Short Term Mobility Program 2016, which funded his stay at the Universidad Carlos III de Madrid where this work was accomplished.	Y	
171	296	10419/168006	9	NSF Grant # SES-0819780		'10.13039/100006445', '10.13039/501100002850'	'NSF', 'FONDECYT'	Financial support from NSF Grant #SES-0819780, and from FONDECYT under Grant Iniciación #11130277 is gratefully acknowledged. The author also acknowledges support from Núcleo Milenio Research Center in Entrepreneurial Strategy Under Uncertainty (NS130028). 	Y	
172	298	10419/168006	9	Núcleo Milenio Research Center		'10.13039/100006445', '10.13039/501100002850'	'NSF', 'FONDECYT'	Financial support from NSF Grant #SES-0819780, and from FONDECYT under Grant Iniciación #11130277 is gratefully acknowledged. The author also acknowledges support from Núcleo Milenio Research Center in Entrepreneurial Strategy Under Uncertainty (NS130028). 	Y	
173	299	10419/168006	9	Entrepreneurial Strategy		'10.13039/100006445', '10.13039/501100002850'	'NSF', 'FONDECYT'	Financial support from NSF Grant #SES-0819780, and from FONDECYT under Grant Iniciación #11130277 is gratefully acknowledged. The author also acknowledges support from Núcleo Milenio Research Center in Entrepreneurial Strategy Under Uncertainty (NS130028). 	Y	
174	302	10419/168006	9	FONDECYT		'10.13039/100006445', '10.13039/501100002850'	'NSF', 'FONDECYT'	Financial support from NSF Grant #SES-0819780, and from FONDECYT under Grant Iniciación #11130277 is gratefully acknowledged. The author also acknowledges support from Núcleo Milenio Research Center in Entrepreneurial Strategy Under Uncertainty (NS130028). 	Y	Fondo Nacional de Desarrollo Científico, Tecnológico y de Innovación Tecnológica (Peru) (FONDECYT (Peru)); doi:10.13039/501100010751; 90.00
175	303	10419/168008	7	ENS - Paris for partial support		'10.13039/501100003593', '10.13039/501100002322', '10.13039/501100004263'	'Conselho Nacional de Desenvolvimento Científico e Tecnológico', 'Coordenação de Aperfeiçoamento de Pessoal de Nível Superior', 'Fundação de Amparo à Pesquisa do Estado do Rio Grande do Sul'	AC thanks the IF-UFRGS for the hospitality and the ENS-Paris for partial support during her stay in Porto Alegre. AFL is partially supported by a CNPq PhD grant. JJA thanks the INCT Sistemas Complexos and the Brazilian agencies CNPq, Fapergs and CAPES for partial support.	Y	
176	304	10419/168008	7	Porto Alegre		'10.13039/501100003593', '10.13039/501100002322', '10.13039/501100004263'	'Conselho Nacional de Desenvolvimento Científico e Tecnológico', 'Coordenação de Aperfeiçoamento de Pessoal de Nível Superior', 'Fundação de Amparo à Pesquisa do Estado do Rio Grande do Sul'	AC thanks the IF-UFRGS for the hospitality and the ENS-Paris for partial support during her stay in Porto Alegre. AFL is partially supported by a CNPq PhD grant. JJA thanks the INCT Sistemas Complexos and the Brazilian agencies CNPq, Fapergs and CAPES for partial support.	Y	Hospital de Clínicas de Porto Alegre (Brazil); doi:10.13039/501100003810; 90.00
177	305	10419/168008	7	CNPq PhD grant		'10.13039/501100003593', '10.13039/501100002322', '10.13039/501100004263'	'Conselho Nacional de Desenvolvimento Científico e Tecnológico', 'Coordenação de Aperfeiçoamento de Pessoal de Nível Superior', 'Fundação de Amparo à Pesquisa do Estado do Rio Grande do Sul'	AC thanks the IF-UFRGS for the hospitality and the ENS-Paris for partial support during her stay in Porto Alegre. AFL is partially supported by a CNPq PhD grant. JJA thanks the INCT Sistemas Complexos and the Brazilian agencies CNPq, Fapergs and CAPES for partial support.	Y	
178	306	10419/168008	7	Brazilian agencies CNPq , Fapergs and CAPES for partial support		'10.13039/501100003593', '10.13039/501100002322', '10.13039/501100004263'	'Conselho Nacional de Desenvolvimento Científico e Tecnológico', 'Coordenação de Aperfeiçoamento de Pessoal de Nível Superior', 'Fundação de Amparo à Pesquisa do Estado do Rio Grande do Sul'	AC thanks the IF-UFRGS for the hospitality and the ENS-Paris for partial support during her stay in Porto Alegre. AFL is partially supported by a CNPq PhD grant. JJA thanks the INCT Sistemas Complexos and the Brazilian agencies CNPq, Fapergs and CAPES for partial support.	Y	
179	307	10419/168008	7	UFRGS		'10.13039/501100003593', '10.13039/501100002322', '10.13039/501100004263'	'Conselho Nacional de Desenvolvimento Científico e Tecnológico', 'Coordenação de Aperfeiçoamento de Pessoal de Nível Superior', 'Fundação de Amparo à Pesquisa do Estado do Rio Grande do Sul'	AC thanks the IF-UFRGS for the hospitality and the ENS-Paris for partial support during her stay in Porto Alegre. AFL is partially supported by a CNPq PhD grant. JJA thanks the INCT Sistemas Complexos and the Brazilian agencies CNPq, Fapergs and CAPES for partial support.	Y	Universidade Federal do Rio Grande do Sul (Brazil) (UFRGS (Brazil)); doi:10.13039/501100004909; 90.00
180	308	10419/168008	7	AFL		'10.13039/501100003593', '10.13039/501100002322', '10.13039/501100004263'	'Conselho Nacional de Desenvolvimento Científico e Tecnológico', 'Coordenação de Aperfeiçoamento de Pessoal de Nível Superior', 'Fundação de Amparo à Pesquisa do Estado do Rio Grande do Sul'	AC thanks the IF-UFRGS for the hospitality and the ENS-Paris for partial support during her stay in Porto Alegre. AFL is partially supported by a CNPq PhD grant. JJA thanks the INCT Sistemas Complexos and the Brazilian agencies CNPq, Fapergs and CAPES for partial support.	Y	Vitaflo (United Kingdom); doi:10.13039/100010887; 90.00
181	309	10419/168008	7	JJA		'10.13039/501100003593', '10.13039/501100002322', '10.13039/501100004263'	'Conselho Nacional de Desenvolvimento Científico e Tecnológico', 'Coordenação de Aperfeiçoamento de Pessoal de Nível Superior', 'Fundação de Amparo à Pesquisa do Estado do Rio Grande do Sul'	AC thanks the IF-UFRGS for the hospitality and the ENS-Paris for partial support during her stay in Porto Alegre. AFL is partially supported by a CNPq PhD grant. JJA thanks the INCT Sistemas Complexos and the Brazilian agencies CNPq, Fapergs and CAPES for partial support.	Y	
182	310	10419/168008	7	INCT		'10.13039/501100003593', '10.13039/501100002322', '10.13039/501100004263'	'Conselho Nacional de Desenvolvimento Científico e Tecnológico', 'Coordenação de Aperfeiçoamento de Pessoal de Nível Superior', 'Fundação de Amparo à Pesquisa do Estado do Rio Grande do Sul'	AC thanks the IF-UFRGS for the hospitality and the ENS-Paris for partial support during her stay in Porto Alegre. AFL is partially supported by a CNPq PhD grant. JJA thanks the INCT Sistemas Complexos and the Brazilian agencies CNPq, Fapergs and CAPES for partial support.	Y	INCT-INOVAMED (Brazil); doi:10.13039/100017410; 90.00
183	312	10419/168016	17	DFG grants		'10.13039/501100001659'	'Deutsche Forschungsgemeinschaft'	L.K. contributed to this work while supported by DFG grants KL 2087/1-1 and SR 7/15-1. E.S.S. is supported by a Federal State Scholarship at Kiel University. We gratefully acknowledge this support.	Y	
184	313	10419/168016	17	Federal State Scholarship		'10.13039/501100001659'	'Deutsche Forschungsgemeinschaft'	L.K. contributed to this work while supported by DFG grants KL 2087/1-1 and SR 7/15-1. E.S.S. is supported by a Federal State Scholarship at Kiel University. We gratefully acknowledge this support.	Y	
185	314	10419/168016	17	Kiel University		'10.13039/501100001659'	'Deutsche Forschungsgemeinschaft'	L.K. contributed to this work while supported by DFG grants KL 2087/1-1 and SR 7/15-1. E.S.S. is supported by a Federal State Scholarship at Kiel University. We gratefully acknowledge this support.	Y	
186	319	10419/168572	11	Australian National Health and Medical Research Council		'10.13039/501100000925'	'National Health and Medical Research Council'	CCJS is funded by the Australian National Health and Medical Research Council (NHMRC; Early Career Fellowship 1074146). BMF is funded by the NHMRC (Project Grant 1098844).	Y	National Health and Medical Research Council (Australia); doi:10.13039/501100000925; 94.13
187	322	10419/168572	11	BMF		'10.13039/501100000925'	'National Health and Medical Research Council'	CCJS is funded by the Australian National Health and Medical Research Council (NHMRC; Early Career Fellowship 1074146). BMF is funded by the NHMRC (Project Grant 1098844).	Y	Gordon and Betty Moore Foundation (United States) (GBMF (United States)); doi:10.13039/100000936; 90.00
188	323	10419/168572	11	NHMRC		'10.13039/501100000925'	'National Health and Medical Research Council'	CCJS is funded by the Australian National Health and Medical Research Council (NHMRC; Early Career Fellowship 1074146). BMF is funded by the NHMRC (Project Grant 1098844).	Y	National Health and Medical Research Council (Australia) (NHMRC (Australia)); doi:10.13039/501100000925; 90.00
189	324	10419/169283	27	New Zealand Foundation for Research Science		'10.13039/501100003524'	'Ministry of Business, Innovation and Employment', 'New Zealand Foundation for Research Science and Technology'	This research was initially funded by the New Zealand Foundation for Research Science and Technology as part of the 2007–2012 Integration of Immigrants Programme (grant MAUX0605). Jacques Poot was also supported by the 2014–2020 Ministry of Business Innovation and Employment (MBIE) grant UOWX1404, funding the Capturing the Diversity Dividend of Aotearoa New Zealand (CaDDANZ) research programme.	Y	Foundation for Research, Science and Technology (New Zealand); doi:10.13039/100012592; 95.00
190	325	10419/169283	27	2007–2012 Integration of Immigrants Programme		'10.13039/501100003524'	'Ministry of Business, Innovation and Employment', 'New Zealand Foundation for Research Science and Technology'	This research was initially funded by the New Zealand Foundation for Research Science and Technology as part of the 2007–2012 Integration of Immigrants Programme (grant MAUX0605). Jacques Poot was also supported by the 2014–2020 Ministry of Business Innovation and Employment (MBIE) grant UOWX1404, funding the Capturing the Diversity Dividend of Aotearoa New Zealand (CaDDANZ) research programme.	Y	
191	326	10419/169283	27	2014–2020 Ministry of Business Innovation		'10.13039/501100003524'	'Ministry of Business, Innovation and Employment', 'New Zealand Foundation for Research Science and Technology'	This research was initially funded by the New Zealand Foundation for Research Science and Technology as part of the 2007–2012 Integration of Immigrants Programme (grant MAUX0605). Jacques Poot was also supported by the 2014–2020 Ministry of Business Innovation and Employment (MBIE) grant UOWX1404, funding the Capturing the Diversity Dividend of Aotearoa New Zealand (CaDDANZ) research programme.	Y	
192	328	10419/169283	27	Aotearoa New Zealand		'10.13039/501100003524'	'Ministry of Business, Innovation and Employment', 'New Zealand Foundation for Research Science and Technology'	This research was initially funded by the New Zealand Foundation for Research Science and Technology as part of the 2007–2012 Integration of Immigrants Programme (grant MAUX0605). Jacques Poot was also supported by the 2014–2020 Ministry of Business Innovation and Employment (MBIE) grant UOWX1404, funding the Capturing the Diversity Dividend of Aotearoa New Zealand (CaDDANZ) research programme.	Y	Aotearoa New Zealand Science Journalism Fund (New Zealand); doi:10.13039/100012563; 90.00
193	331	10419/169283	27	MBIE		'10.13039/501100003524'	'Ministry of Business, Innovation and Employment', 'New Zealand Foundation for Research Science and Technology'	This research was initially funded by the New Zealand Foundation for Research Science and Technology as part of the 2007–2012 Integration of Immigrants Programme (grant MAUX0605). Jacques Poot was also supported by the 2014–2020 Ministry of Business Innovation and Employment (MBIE) grant UOWX1404, funding the Capturing the Diversity Dividend of Aotearoa New Zealand (CaDDANZ) research programme.	Y	Abercrombie Foundation (Canada); doi:10.13039/100008726; 90.00
194	332	10419/169283	27	DDANZ		'10.13039/501100003524'	'Ministry of Business, Innovation and Employment', 'New Zealand Foundation for Research Science and Technology'	This research was initially funded by the New Zealand Foundation for Research Science and Technology as part of the 2007–2012 Integration of Immigrants Programme (grant MAUX0605). Jacques Poot was also supported by the 2014–2020 Ministry of Business Innovation and Employment (MBIE) grant UOWX1404, funding the Capturing the Diversity Dividend of Aotearoa New Zealand (CaDDANZ) research programme.	Y	
195	334	10419/169288	13	International Development Research Center of Canada			'International Development Research Center of Canada (IDRC)'	This research paper is made possible through the support from the International Development Research Center of Canada (IDRC) which provided us with Grant No. 104945 as a support to a project entitled “Gendered Migration and Agriculture in the Dry Areas: Implications for Resource Management and Livelihoods in Syria.”	Y	International Development Research Centre (Canada); doi:10.13039/501100000193; 96.00
196	336	10419/169288	13	Dry Areas			'International Development Research Center of Canada (IDRC)'	This research paper is made possible through the support from the International Development Research Center of Canada (IDRC) which provided us with Grant No. 104945 as a support to a project entitled “Gendered Migration and Agriculture in the Dry Areas: Implications for Resource Management and Livelihoods in Syria.”	Y	
197	337	10419/169288	13	Resource Management			'International Development Research Center of Canada (IDRC)'	This research paper is made possible through the support from the International Development Research Center of Canada (IDRC) which provided us with Grant No. 104945 as a support to a project entitled “Gendered Migration and Agriculture in the Dry Areas: Implications for Resource Management and Livelihoods in Syria.”	Y	Society for Human Resource Management (United States); doi:10.13039/100009361; 90.00
198	341	10419/169288	13	IDRC			'International Development Research Center of Canada (IDRC)'	This research paper is made possible through the support from the International Development Research Center of Canada (IDRC) which provided us with Grant No. 104945 as a support to a project entitled “Gendered Migration and Agriculture in the Dry Areas: Implications for Resource Management and Livelihoods in Syria.”	Y	International Development Research Centre (Canada) (IDRC (Canada)); doi:10.13039/501100000193; 90.00
199	343	10419/169292	21	Statistics Canada		'10.13039/501100000155'	'Social Sciences and Humanities Research Council of Canada'	We are grateful for the funding from the Social Science and Humanities Research Council (SSHRC) and technical support from Statistics Canada.	Y	Bank of Canada (Canada) ( (Canada)); doi:10.13039/501100000065; 90.00
200	344	10419/169292	21	SSHRC		'10.13039/501100000155'	'Social Sciences and Humanities Research Council of Canada'	We are grateful for the funding from the Social Science and Humanities Research Council (SSHRC) and technical support from Statistics Canada.	Y	Social Sciences and Humanities Research Council of Canada (Canada) (SSHRC (Canada)); doi:10.13039/501100000155; 90.00
201	346	10419/169296	19	Foreign Affairs of Norway			'Ministerio de Relaciones Exteriores de Noruega'	We acknowledge funding from the Ministry of Foreign Affairs of Norway. 	Y	Utenriksdepartementet (Norway) (Ministry of Foreign Affairs (Norway)); doi:10.13039/100007842; 95.00
202	347	10419/169297	27	World Bank ’s Gender Assessment Program		'10.13039/100004421'	'World Bank Group'	This study was financially supported by the World Bank’s Gender Assessment Program in the South Caucasus.	Y	
203	348	10419/169297	27	South Caucasus		'10.13039/100004421'	'World Bank Group'	This study was financially supported by the World Bank’s Gender Assessment Program in the South Caucasus.	Y	American Research Institute of the South Caucasus (United States); doi:10.13039/100013241; 90.00
204	351	10419/169298	20	Economic Research Forum			'Economic Research Forum'	The authors acknowledge funding support from the Economic Research Forum (ERF).	Y	Economic Research Forum (Egypt); doi:10.13039/501100015610; 95.00
205	352	10419/169298	20	ERF			'Economic Research Forum'	The authors acknowledge funding support from the Economic Research Forum (ERF).	Y	Cancerfonden (Sweden); doi:10.13039/501100002794; 90.00
206	363	10419/170577	8	National Science Centre		'10.13039/501100004281'	'Narodowe Centrum Nauki'	This research was supported by National Science Centre, Poland (grant number UMO-2016/21/B/HS4/03016).	Y	Narodowym Centrum Nauki (Poland) (National Science Centre (Poland)); doi:10.13039/501100004442; 95.00
207	368	10419/170682	15	Deutsche Forschungsgemeinschaft		'10.13039/501100001659', '10.13039/501100005713'	'Deutsche Forschungsgemeinschaft', 'Technische Universität München'	This work was supported by the Deutsche Forschungsgemeinschaft [grant numbers TH 849/3-1, BU 1319/12-1]; the DFG; the Technical University Munich within the funding program “Open Access Publishing”.	Y	Deutsche Forschungsgemeinschaft (Germany); doi:10.13039/501100001659; 95.00
208	369	10419/170682	15	TH 849/3		'10.13039/501100001659', '10.13039/501100005713'	'Deutsche Forschungsgemeinschaft', 'Technische Universität München'	This work was supported by the Deutsche Forschungsgemeinschaft [grant numbers TH 849/3-1, BU 1319/12-1]; the DFG; the Technical University Munich within the funding program “Open Access Publishing”.	Y	
209	371	10419/171305	20	rural Policy Design		'10.13039/501100001659'	'Deutsche Forschungsgemeinschaft'	This article is a contribution to the project: ‘‘Institutional Analysis of Decentralization and Options of Stakeholders for Participation in Agro-rural Policy Design’’ funded by the German Research Foundation DFG (TH 849/3-1).	Y	
210	372	10419/171305	20	German Research Foundation DFG		'10.13039/501100001659'	'Deutsche Forschungsgemeinschaft'	This article is a contribution to the project: ‘‘Institutional Analysis of Decentralization and Options of Stakeholders for Participation in Agro-rural Policy Design’’ funded by the German Research Foundation DFG (TH 849/3-1).	Y	
211	375	10419/171306	12	National Basic Research Development Program of China		'10.13039/501100001809'	'National Science Foundation of China'	The work was financially supported by National Basic Research Development Program of China (Grant Nos. 2015CB953602, 2016YFA0602500), National Science Foundation of China (Grant No. 210100021,41271542), the European Commission (Collaborative Project Impacts of Reducing Emissions from Deforestation and Forest Degradation and Enhancing Carbon Stocks, I-REDD+, FP7-ENV-2010-265286) and the Startup Foundation for Advanced Talents in Nanjing University of Information Science and Technology.	Y	National Key Research and Development Program of China (China) (National Basic Research Program of China (China)); doi:10.13039/501100012166; 95.00
212	390	10419/171910	15	Ministerio de Ciencia y Tecnología		'10.13039/501100006473'	'Ministerio de Ciencia Tecnología y Telecomunicaciones'	Financial support from the Ministerio de Ciencia y Tecnología under Grants ECO2014-58991-C3-1-R, ECO2014-58991-C3-2-R and ECO2015-65967-R is gratefully acknowledged.	Y	Ministerio de Ciencia y Tecnología (Spain); doi:10.13039/501100006280; 95.00
213	397	10419/173194	10	National Key Research and Development Program of China		'10.13039/501100012166'	'National Basic Research Program of China (973 Program)', 'Key project of national social and scientific fund program', 'Alexander Humboldt Foundation-Climate Protection Programe of Germany', 'the Startup Foundation for Introducing Talents of Nanjing University of Information Science and Technology', 'National Basic Research Development Program of China', 'National Basic Research Development Program of China', 'National Natural Science Foundation of China (CN)'	The work was financially supported by National Key Research and Development Program of China (Grant no. 2017YFC0504301), the Key Project of National Social and Scientific Fund Program (Grant no.16ZDA047), Alexander von Humboldt Foundation, Startup Foundation for Introducing Talents of Nanjing University of Information Science and Technology (Grant no. 2243141601048), National Basic Research Development Program of China (Grant no. 2015CB953602, 2016YFA0602500), and the National Science Foundation of China (Grant no. 41271542). 	Y	National Key Research and Development Program of China (China); doi:10.13039/501100012166; 95.00
214	398	10419/173194	10	National Social and Scientific Fund Program		'10.13039/501100012166'	'National Basic Research Program of China (973 Program)', 'Key project of national social and scientific fund program', 'Alexander Humboldt Foundation-Climate Protection Programe of Germany', 'the Startup Foundation for Introducing Talents of Nanjing University of Information Science and Technology', 'National Basic Research Development Program of China', 'National Basic Research Development Program of China', 'National Natural Science Foundation of China (CN)'	The work was financially supported by National Key Research and Development Program of China (Grant no. 2017YFC0504301), the Key Project of National Social and Scientific Fund Program (Grant no.16ZDA047), Alexander von Humboldt Foundation, Startup Foundation for Introducing Talents of Nanjing University of Information Science and Technology (Grant no. 2243141601048), National Basic Research Development Program of China (Grant no. 2015CB953602, 2016YFA0602500), and the National Science Foundation of China (Grant no. 41271542). 	Y	
