	handle	page_n	ne	type_ne	crossref_doi	crossref_phrase	pdf_phrase	funder
183	10419/161805	21	Grant No.SI/501053-01		'10.13039/501100005380', '10.13039/501100001808'	'Bundesamt für Energie', 'Kommission für Technologie und Innovation'	The research presented in this paper was financially supported by Swiss Federal Office of Energy (Grant number SI/501053-01) and Commission for Technology and Innovation in Switzerland (CTI Grant number 16702.2 PFEN-ES).	Y
184	10419/161805	21	Grant No.16702.2		'10.13039/501100005380', '10.13039/501100001808'	'Bundesamt für Energie', 'Kommission für Technologie und Innovation'	The research presented in this paper was financially supported by Swiss Federal Office of Energy (Grant number SI/501053-01) and Commission for Technology and Innovation in Switzerland (CTI Grant number 16702.2 PFEN-ES).	Y
185	10419/161805	21	CTI		'10.13039/501100005380', '10.13039/501100001808'	'Bundesamt für Energie', 'Kommission für Technologie und Innovation'	The research presented in this paper was financially supported by Swiss Federal Office of Energy (Grant number SI/501053-01) and Commission for Technology and Innovation in Switzerland (CTI Grant number 16702.2 PFEN-ES).	Y
186	10419/162034	19	Economic Research		'10.13039/501100001809'	'National Natural Science Foundation of China', 'key projects of philosophy and social sciences in Education Ministry', 'surface project in applied basic research of Yunnan Provincial Science and Technology Plan', 'Key topics in Yunnan province philosophy social sciences research base'	This article is funded by the Key Projects of Philosophy and Social Sciences Research in Ministry of Education: “Monitoring and Warning Mechanism Research of Public Finance Safety” (12JZD031), the National Natural Science Foundation of China: “Excavating Motivation and Modifying System Research of Local Government Debt Risk: based on the Responsibility Transfer Expected Model under the Space-time Separation of Power and Responsibility” (71303207), the Surface Project in Applied Basic Research of Yunnan Provincial Science and Technology Plan: “The Formation and Control of Local Government Debt Risk under the Space-time Separation of Power and Responsibility: Case in Yunnan Province” (2012FB168).	Y
187	10419/162034	19	National Natural Science Foundation of China		'10.13039/501100001809'	'National Natural Science Foundation of China', 'key projects of philosophy and social sciences in Education Ministry', 'surface project in applied basic research of Yunnan Provincial Science and Technology Plan', 'Key topics in Yunnan province philosophy social sciences research base'	This article is funded by the Key Projects of Philosophy and Social Sciences Research in Ministry of Education: “Monitoring and Warning Mechanism Research of Public Finance Safety” (12JZD031), the National Natural Science Foundation of China: “Excavating Motivation and Modifying System Research of Local Government Debt Risk: based on the Responsibility Transfer Expected Model under the Space-time Separation of Power and Responsibility” (71303207), the Surface Project in Applied Basic Research of Yunnan Provincial Science and Technology Plan: “The Formation and Control of Local Government Debt Risk under the Space-time Separation of Power and Responsibility: Case in Yunnan Province” (2012FB168).	Y
188	10419/162034	19	Humanity and Social Science Research of Education		'10.13039/501100001809'	'National Natural Science Foundation of China', 'key projects of philosophy and social sciences in Education Ministry', 'surface project in applied basic research of Yunnan Provincial Science and Technology Plan', 'Key topics in Yunnan province philosophy social sciences research base'	This article is funded by the Key Projects of Philosophy and Social Sciences Research in Ministry of Education: “Monitoring and Warning Mechanism Research of Public Finance Safety” (12JZD031), the National Natural Science Foundation of China: “Excavating Motivation and Modifying System Research of Local Government Debt Risk: based on the Responsibility Transfer Expected Model under the Space-time Separation of Power and Responsibility” (71303207), the Surface Project in Applied Basic Research of Yunnan Provincial Science and Technology Plan: “The Formation and Control of Local Government Debt Risk under the Space-time Separation of Power and Responsibility: Case in Yunnan Province” (2012FB168).	Y
189	10419/162034	19	Yunnan provincial finance department		'10.13039/501100001809'	'National Natural Science Foundation of China', 'key projects of philosophy and social sciences in Education Ministry', 'surface project in applied basic research of Yunnan Provincial Science and Technology Plan', 'Key topics in Yunnan province philosophy social sciences research base'	This article is funded by the Key Projects of Philosophy and Social Sciences Research in Ministry of Education: “Monitoring and Warning Mechanism Research of Public Finance Safety” (12JZD031), the National Natural Science Foundation of China: “Excavating Motivation and Modifying System Research of Local Government Debt Risk: based on the Responsibility Transfer Expected Model under the Space-time Separation of Power and Responsibility” (71303207), the Surface Project in Applied Basic Research of Yunnan Provincial Science and Technology Plan: “The Formation and Control of Local Government Debt Risk under the Space-time Separation of Power and Responsibility: Case in Yunnan Province” (2012FB168).	Y
190	10419/162034	19	Key Projects of Philosophy		'10.13039/501100001809'	'National Natural Science Foundation of China', 'key projects of philosophy and social sciences in Education Ministry', 'surface project in applied basic research of Yunnan Provincial Science and Technology Plan', 'Key topics in Yunnan province philosophy social sciences research base'	This article is funded by the Key Projects of Philosophy and Social Sciences Research in Ministry of Education: “Monitoring and Warning Mechanism Research of Public Finance Safety” (12JZD031), the National Natural Science Foundation of China: “Excavating Motivation and Modifying System Research of Local Government Debt Risk: based on the Responsibility Transfer Expected Model under the Space-time Separation of Power and Responsibility” (71303207), the Surface Project in Applied Basic Research of Yunnan Provincial Science and Technology Plan: “The Formation and Control of Local Government Debt Risk under the Space-time Separation of Power and Responsibility: Case in Yunnan Province” (2012FB168).	Y
191	10419/162034	19	Social Sciences Research		'10.13039/501100001809'	'National Natural Science Foundation of China', 'key projects of philosophy and social sciences in Education Ministry', 'surface project in applied basic research of Yunnan Provincial Science and Technology Plan', 'Key topics in Yunnan province philosophy social sciences research base'	This article is funded by the Key Projects of Philosophy and Social Sciences Research in Ministry of Education: “Monitoring and Warning Mechanism Research of Public Finance Safety” (12JZD031), the National Natural Science Foundation of China: “Excavating Motivation and Modifying System Research of Local Government Debt Risk: based on the Responsibility Transfer Expected Model under the Space-time Separation of Power and Responsibility” (71303207), the Surface Project in Applied Basic Research of Yunnan Provincial Science and Technology Plan: “The Formation and Control of Local Government Debt Risk under the Space-time Separation of Power and Responsibility: Case in Yunnan Province” (2012FB168).	Y
192	10419/162034	19	Public Finance Safety		'10.13039/501100001809'	'National Natural Science Foundation of China', 'key projects of philosophy and social sciences in Education Ministry', 'surface project in applied basic research of Yunnan Provincial Science and Technology Plan', 'Key topics in Yunnan province philosophy social sciences research base'	This article is funded by the Key Projects of Philosophy and Social Sciences Research in Ministry of Education: “Monitoring and Warning Mechanism Research of Public Finance Safety” (12JZD031), the National Natural Science Foundation of China: “Excavating Motivation and Modifying System Research of Local Government Debt Risk: based on the Responsibility Transfer Expected Model under the Space-time Separation of Power and Responsibility” (71303207), the Surface Project in Applied Basic Research of Yunnan Provincial Science and Technology Plan: “The Formation and Control of Local Government Debt Risk under the Space-time Separation of Power and Responsibility: Case in Yunnan Province” (2012FB168).	Y
193	10419/162034	19	Motivation and Modifying System Research of Local Government		'10.13039/501100001809'	'National Natural Science Foundation of China', 'key projects of philosophy and social sciences in Education Ministry', 'surface project in applied basic research of Yunnan Provincial Science and Technology Plan', 'Key topics in Yunnan province philosophy social sciences research base'	This article is funded by the Key Projects of Philosophy and Social Sciences Research in Ministry of Education: “Monitoring and Warning Mechanism Research of Public Finance Safety” (12JZD031), the National Natural Science Foundation of China: “Excavating Motivation and Modifying System Research of Local Government Debt Risk: based on the Responsibility Transfer Expected Model under the Space-time Separation of Power and Responsibility” (71303207), the Surface Project in Applied Basic Research of Yunnan Provincial Science and Technology Plan: “The Formation and Control of Local Government Debt Risk under the Space-time Separation of Power and Responsibility: Case in Yunnan Province” (2012FB168).	Y
194	10419/162034	19	Debt Risk		'10.13039/501100001809'	'National Natural Science Foundation of China', 'key projects of philosophy and social sciences in Education Ministry', 'surface project in applied basic research of Yunnan Provincial Science and Technology Plan', 'Key topics in Yunnan province philosophy social sciences research base'	This article is funded by the Key Projects of Philosophy and Social Sciences Research in Ministry of Education: “Monitoring and Warning Mechanism Research of Public Finance Safety” (12JZD031), the National Natural Science Foundation of China: “Excavating Motivation and Modifying System Research of Local Government Debt Risk: based on the Responsibility Transfer Expected Model under the Space-time Separation of Power and Responsibility” (71303207), the Surface Project in Applied Basic Research of Yunnan Provincial Science and Technology Plan: “The Formation and Control of Local Government Debt Risk under the Space-time Separation of Power and Responsibility: Case in Yunnan Province” (2012FB168).	Y
195	10419/162034	19	Responsibility Transfer		'10.13039/501100001809'	'National Natural Science Foundation of China', 'key projects of philosophy and social sciences in Education Ministry', 'surface project in applied basic research of Yunnan Provincial Science and Technology Plan', 'Key topics in Yunnan province philosophy social sciences research base'	This article is funded by the Key Projects of Philosophy and Social Sciences Research in Ministry of Education: “Monitoring and Warning Mechanism Research of Public Finance Safety” (12JZD031), the National Natural Science Foundation of China: “Excavating Motivation and Modifying System Research of Local Government Debt Risk: based on the Responsibility Transfer Expected Model under the Space-time Separation of Power and Responsibility” (71303207), the Surface Project in Applied Basic Research of Yunnan Provincial Science and Technology Plan: “The Formation and Control of Local Government Debt Risk under the Space-time Separation of Power and Responsibility: Case in Yunnan Province” (2012FB168).	Y
196	10419/162034	19	Space - time Separation of Power		'10.13039/501100001809'	'National Natural Science Foundation of China', 'key projects of philosophy and social sciences in Education Ministry', 'surface project in applied basic research of Yunnan Provincial Science and Technology Plan', 'Key topics in Yunnan province philosophy social sciences research base'	This article is funded by the Key Projects of Philosophy and Social Sciences Research in Ministry of Education: “Monitoring and Warning Mechanism Research of Public Finance Safety” (12JZD031), the National Natural Science Foundation of China: “Excavating Motivation and Modifying System Research of Local Government Debt Risk: based on the Responsibility Transfer Expected Model under the Space-time Separation of Power and Responsibility” (71303207), the Surface Project in Applied Basic Research of Yunnan Provincial Science and Technology Plan: “The Formation and Control of Local Government Debt Risk under the Space-time Separation of Power and Responsibility: Case in Yunnan Province” (2012FB168).	Y
197	10419/162034	19	Applied Basic Research of Yunnan Provincial Science and Technology Plan		'10.13039/501100001809'	'National Natural Science Foundation of China', 'key projects of philosophy and social sciences in Education Ministry', 'surface project in applied basic research of Yunnan Provincial Science and Technology Plan', 'Key topics in Yunnan province philosophy social sciences research base'	This article is funded by the Key Projects of Philosophy and Social Sciences Research in Ministry of Education: “Monitoring and Warning Mechanism Research of Public Finance Safety” (12JZD031), the National Natural Science Foundation of China: “Excavating Motivation and Modifying System Research of Local Government Debt Risk: based on the Responsibility Transfer Expected Model under the Space-time Separation of Power and Responsibility” (71303207), the Surface Project in Applied Basic Research of Yunnan Provincial Science and Technology Plan: “The Formation and Control of Local Government Debt Risk under the Space-time Separation of Power and Responsibility: Case in Yunnan Province” (2012FB168).	Y
198	10419/162034	19	Local Government Debt Risk		'10.13039/501100001809'	'National Natural Science Foundation of China', 'key projects of philosophy and social sciences in Education Ministry', 'surface project in applied basic research of Yunnan Provincial Science and Technology Plan', 'Key topics in Yunnan province philosophy social sciences research base'	This article is funded by the Key Projects of Philosophy and Social Sciences Research in Ministry of Education: “Monitoring and Warning Mechanism Research of Public Finance Safety” (12JZD031), the National Natural Science Foundation of China: “Excavating Motivation and Modifying System Research of Local Government Debt Risk: based on the Responsibility Transfer Expected Model under the Space-time Separation of Power and Responsibility” (71303207), the Surface Project in Applied Basic Research of Yunnan Provincial Science and Technology Plan: “The Formation and Control of Local Government Debt Risk under the Space-time Separation of Power and Responsibility: Case in Yunnan Province” (2012FB168).	Y
199	10419/162034	19	Yunnan Province		'10.13039/501100001809'	'National Natural Science Foundation of China', 'key projects of philosophy and social sciences in Education Ministry', 'surface project in applied basic research of Yunnan Provincial Science and Technology Plan', 'Key topics in Yunnan province philosophy social sciences research base'	This article is funded by the Key Projects of Philosophy and Social Sciences Research in Ministry of Education: “Monitoring and Warning Mechanism Research of Public Finance Safety” (12JZD031), the National Natural Science Foundation of China: “Excavating Motivation and Modifying System Research of Local Government Debt Risk: based on the Responsibility Transfer Expected Model under the Space-time Separation of Power and Responsibility” (71303207), the Surface Project in Applied Basic Research of Yunnan Provincial Science and Technology Plan: “The Formation and Control of Local Government Debt Risk under the Space-time Separation of Power and Responsibility: Case in Yunnan Province” (2012FB168).	Y
200	10419/162034	19	26 February 2016 References Fu R		'10.13039/501100001809'	'National Natural Science Foundation of China', 'key projects of philosophy and social sciences in Education Ministry', 'surface project in applied basic research of Yunnan Provincial Science and Technology Plan', 'Key topics in Yunnan province philosophy social sciences research base'	This article is funded by the Key Projects of Philosophy and Social Sciences Research in Ministry of Education: “Monitoring and Warning Mechanism Research of Public Finance Safety” (12JZD031), the National Natural Science Foundation of China: “Excavating Motivation and Modifying System Research of Local Government Debt Risk: based on the Responsibility Transfer Expected Model under the Space-time Separation of Power and Responsibility” (71303207), the Surface Project in Applied Basic Research of Yunnan Provincial Science and Technology Plan: “The Formation and Control of Local Government Debt Risk under the Space-time Separation of Power and Responsibility: Case in Yunnan Province” (2012FB168).	Y
201	10419/167629	11	postdoctoral Fellowship award		'10.13039/501100003986'	'Jacobs Foundation', 'Wissenschaftszentrum Berlin (WZB)', 'British Economic and Social Research Council (ESRC)'	The authors disclosed receipt of the following financial support for the research, authorship, and/or publication of this article: Preparation of this manuscript was supported by a postdoctoral Fellowship award to Terry Ng-Knight from the Jacobs Foundation as well as funding for Ingrid Schoon from the Wissenschaftszentrum Berlin (WZB), and Grant Number ES/J019658/1 and ES/L008211/1 from the British Economic and Social Research Council (ESRC).	Y
202	10419/167629	11	Terry Ng - Knight		'10.13039/501100003986'	'Jacobs Foundation', 'Wissenschaftszentrum Berlin (WZB)', 'British Economic and Social Research Council (ESRC)'	The authors disclosed receipt of the following financial support for the research, authorship, and/or publication of this article: Preparation of this manuscript was supported by a postdoctoral Fellowship award to Terry Ng-Knight from the Jacobs Foundation as well as funding for Ingrid Schoon from the Wissenschaftszentrum Berlin (WZB), and Grant Number ES/J019658/1 and ES/L008211/1 from the British Economic and Social Research Council (ESRC).	Y
203	10419/167629	11	Jacobs Foundation		'10.13039/501100003986'	'Jacobs Foundation', 'Wissenschaftszentrum Berlin (WZB)', 'British Economic and Social Research Council (ESRC)'	The authors disclosed receipt of the following financial support for the research, authorship, and/or publication of this article: Preparation of this manuscript was supported by a postdoctoral Fellowship award to Terry Ng-Knight from the Jacobs Foundation as well as funding for Ingrid Schoon from the Wissenschaftszentrum Berlin (WZB), and Grant Number ES/J019658/1 and ES/L008211/1 from the British Economic and Social Research Council (ESRC).	Y
204	10419/167629	11	Ingrid Schoon		'10.13039/501100003986'	'Jacobs Foundation', 'Wissenschaftszentrum Berlin (WZB)', 'British Economic and Social Research Council (ESRC)'	The authors disclosed receipt of the following financial support for the research, authorship, and/or publication of this article: Preparation of this manuscript was supported by a postdoctoral Fellowship award to Terry Ng-Knight from the Jacobs Foundation as well as funding for Ingrid Schoon from the Wissenschaftszentrum Berlin (WZB), and Grant Number ES/J019658/1 and ES/L008211/1 from the British Economic and Social Research Council (ESRC).	Y
205	10419/167629	11	Wissenschaftszentrum Berlin		'10.13039/501100003986'	'Jacobs Foundation', 'Wissenschaftszentrum Berlin (WZB)', 'British Economic and Social Research Council (ESRC)'	The authors disclosed receipt of the following financial support for the research, authorship, and/or publication of this article: Preparation of this manuscript was supported by a postdoctoral Fellowship award to Terry Ng-Knight from the Jacobs Foundation as well as funding for Ingrid Schoon from the Wissenschaftszentrum Berlin (WZB), and Grant Number ES/J019658/1 and ES/L008211/1 from the British Economic and Social Research Council (ESRC).	Y
206	10419/167629	11	British Economic and Social Research Council		'10.13039/501100003986'	'Jacobs Foundation', 'Wissenschaftszentrum Berlin (WZB)', 'British Economic and Social Research Council (ESRC)'	The authors disclosed receipt of the following financial support for the research, authorship, and/or publication of this article: Preparation of this manuscript was supported by a postdoctoral Fellowship award to Terry Ng-Knight from the Jacobs Foundation as well as funding for Ingrid Schoon from the Wissenschaftszentrum Berlin (WZB), and Grant Number ES/J019658/1 and ES/L008211/1 from the British Economic and Social Research Council (ESRC).	Y
207	10419/167629	11	Grant No.ES/J019658/1		'10.13039/501100003986'	'Jacobs Foundation', 'Wissenschaftszentrum Berlin (WZB)', 'British Economic and Social Research Council (ESRC)'	The authors disclosed receipt of the following financial support for the research, authorship, and/or publication of this article: Preparation of this manuscript was supported by a postdoctoral Fellowship award to Terry Ng-Knight from the Jacobs Foundation as well as funding for Ingrid Schoon from the Wissenschaftszentrum Berlin (WZB), and Grant Number ES/J019658/1 and ES/L008211/1 from the British Economic and Social Research Council (ESRC).	Y
208	10419/167629	11	WZB		'10.13039/501100003986'	'Jacobs Foundation', 'Wissenschaftszentrum Berlin (WZB)', 'British Economic and Social Research Council (ESRC)'	The authors disclosed receipt of the following financial support for the research, authorship, and/or publication of this article: Preparation of this manuscript was supported by a postdoctoral Fellowship award to Terry Ng-Knight from the Jacobs Foundation as well as funding for Ingrid Schoon from the Wissenschaftszentrum Berlin (WZB), and Grant Number ES/J019658/1 and ES/L008211/1 from the British Economic and Social Research Council (ESRC).	Y
209	10419/167629	11	ESRC		'10.13039/501100003986'	'Jacobs Foundation', 'Wissenschaftszentrum Berlin (WZB)', 'British Economic and Social Research Council (ESRC)'	The authors disclosed receipt of the following financial support for the research, authorship, and/or publication of this article: Preparation of this manuscript was supported by a postdoctoral Fellowship award to Terry Ng-Knight from the Jacobs Foundation as well as funding for Ingrid Schoon from the Wissenschaftszentrum Berlin (WZB), and Grant Number ES/J019658/1 and ES/L008211/1 from the British Economic and Social Research Council (ESRC).	Y
210	10419/167645	14	post - doctoral Fellowship program PATHWAYS		'10.13039/501100003986', '10.13039/501100000269'	'Jacobs Foundation', 'Economic and Social Research Council'	Terry Ng-Knight is supported by the post-doctoral Fellow- ship program PATHWAYS to Adulthood, funded by the Jacobs Foundation. Ingrid Schoon is supported by the Wissenschaftszentrum Berlin (WZB) and Grant Number ES/J019658/1 from the British Eco- nomic and Social Research Council (ESRC) for the Centre for Learning and Life-chances in the Knowledge Economies (LLAKES, Phase II).	Y
211	10419/167645	14	Jacobs Foundation		'10.13039/501100003986', '10.13039/501100000269'	'Jacobs Foundation', 'Economic and Social Research Council'	Terry Ng-Knight is supported by the post-doctoral Fellow- ship program PATHWAYS to Adulthood, funded by the Jacobs Foundation. Ingrid Schoon is supported by the Wissenschaftszentrum Berlin (WZB) and Grant Number ES/J019658/1 from the British Eco- nomic and Social Research Council (ESRC) for the Centre for Learning and Life-chances in the Knowledge Economies (LLAKES, Phase II).	Y
212	10419/167645	14	Knowledge Economies		'10.13039/501100003986', '10.13039/501100000269'	'Jacobs Foundation', 'Economic and Social Research Council'	Terry Ng-Knight is supported by the post-doctoral Fellow- ship program PATHWAYS to Adulthood, funded by the Jacobs Foundation. Ingrid Schoon is supported by the Wissenschaftszentrum Berlin (WZB) and Grant Number ES/J019658/1 from the British Eco- nomic and Social Research Council (ESRC) for the Centre for Learning and Life-chances in the Knowledge Economies (LLAKES, Phase II).	Y
213	10419/167645	14	PATHWAYS		'10.13039/501100003986', '10.13039/501100000269'	'Jacobs Foundation', 'Economic and Social Research Council'	Terry Ng-Knight is supported by the post-doctoral Fellow- ship program PATHWAYS to Adulthood, funded by the Jacobs Foundation. Ingrid Schoon is supported by the Wissenschaftszentrum Berlin (WZB) and Grant Number ES/J019658/1 from the British Eco- nomic and Social Research Council (ESRC) for the Centre for Learning and Life-chances in the Knowledge Economies (LLAKES, Phase II).	Y
214	10419/167645	14	Grant No.ES/J019658/1		'10.13039/501100003986', '10.13039/501100000269'	'Jacobs Foundation', 'Economic and Social Research Council'	Terry Ng-Knight is supported by the post-doctoral Fellow- ship program PATHWAYS to Adulthood, funded by the Jacobs Foundation. Ingrid Schoon is supported by the Wissenschaftszentrum Berlin (WZB) and Grant Number ES/J019658/1 from the British Eco- nomic and Social Research Council (ESRC) for the Centre for Learning and Life-chances in the Knowledge Economies (LLAKES, Phase II).	Y
215	10419/167645	14	WZB		'10.13039/501100003986', '10.13039/501100000269'	'Jacobs Foundation', 'Economic and Social Research Council'	Terry Ng-Knight is supported by the post-doctoral Fellow- ship program PATHWAYS to Adulthood, funded by the Jacobs Foundation. Ingrid Schoon is supported by the Wissenschaftszentrum Berlin (WZB) and Grant Number ES/J019658/1 from the British Eco- nomic and Social Research Council (ESRC) for the Centre for Learning and Life-chances in the Knowledge Economies (LLAKES, Phase II).	Y
216	10419/167645	14	ESRC		'10.13039/501100003986', '10.13039/501100000269'	'Jacobs Foundation', 'Economic and Social Research Council'	Terry Ng-Knight is supported by the post-doctoral Fellow- ship program PATHWAYS to Adulthood, funded by the Jacobs Foundation. Ingrid Schoon is supported by the Wissenschaftszentrum Berlin (WZB) and Grant Number ES/J019658/1 from the British Eco- nomic and Social Research Council (ESRC) for the Centre for Learning and Life-chances in the Knowledge Economies (LLAKES, Phase II).	Y
217	10419/167824	10	Danish Council for Strategic Research		'10.13039/100007398'	'Danish Council for Strategic Research'	This research has been supported by the Danish Council for Strategic Research (DSF), under Grant No. 10-092299.	Y
218	10419/167824	10	Grant No.10-092299		'10.13039/100007398'	'Danish Council for Strategic Research'	This research has been supported by the Danish Council for Strategic Research (DSF), under Grant No. 10-092299.	Y
219	10419/167824	10	DSF		'10.13039/100007398'	'Danish Council for Strategic Research'	This research has been supported by the Danish Council for Strategic Research (DSF), under Grant No. 10-092299.	Y
220	10419/167838	24	Deutsche Forschungsgemeinschaft		'10.13039/501100001659'	'Deutsche Forschungsgemeinschaft'	Andreas Niemeyer acknowledges the financial support of the Deutsche Forschungsgemeinschaft (Research Grant: Regulation in the Financial Services Industry after the Crisis).	Y
221	10419/167852	35	Grant No.017-2010-3		'10.13039/100008617'	'Højteknologifonden'	The authors received support from the Danish Advanced Technology Foundation (Højteknologifonden) (Grant Number 017-2010-3).	Y
222	10419/167887	23	Risk Analysis		'10.13039/501100007390'	'National Science Centre'	This work is under support from the Risk Analysis, Ruin and Extremes (RARE)-318984 project, a Marie Curie IRSES Fellowship within the 7th European Community Framework Programme. Zbigniew Palmowski kindly acknowledges the support from the National Science Centre under the grant 2015/17/B/ST1/01102. 	Y
223	10419/167887	23	7th European Community Framework Programme		'10.13039/501100007390'	'National Science Centre'	This work is under support from the Risk Analysis, Ruin and Extremes (RARE)-318984 project, a Marie Curie IRSES Fellowship within the 7th European Community Framework Programme. Zbigniew Palmowski kindly acknowledges the support from the National Science Centre under the grant 2015/17/B/ST1/01102. 	Y
224	10419/167887	23	National Science Centre		'10.13039/501100007390'	'National Science Centre'	This work is under support from the Risk Analysis, Ruin and Extremes (RARE)-318984 project, a Marie Curie IRSES Fellowship within the 7th European Community Framework Programme. Zbigniew Palmowski kindly acknowledges the support from the National Science Centre under the grant 2015/17/B/ST1/01102. 	Y
225	10419/167887	23	RARE		'10.13039/501100007390'	'National Science Centre'	This work is under support from the Risk Analysis, Ruin and Extremes (RARE)-318984 project, a Marie Curie IRSES Fellowship within the 7th European Community Framework Programme. Zbigniew Palmowski kindly acknowledges the support from the National Science Centre under the grant 2015/17/B/ST1/01102. 	Y
226	10419/167887	23	IRSES		'10.13039/501100007390'	'National Science Centre'	This work is under support from the Risk Analysis, Ruin and Extremes (RARE)-318984 project, a Marie Curie IRSES Fellowship within the 7th European Community Framework Programme. Zbigniew Palmowski kindly acknowledges the support from the National Science Centre under the grant 2015/17/B/ST1/01102. 	Y
227	10419/167887	23	grant 2015/17/B/ST1/01102		'10.13039/501100007390'	'National Science Centre'	This work is under support from the Risk Analysis, Ruin and Extremes (RARE)-318984 project, a Marie Curie IRSES Fellowship within the 7th European Community Framework Programme. Zbigniew Palmowski kindly acknowledges the support from the National Science Centre under the grant 2015/17/B/ST1/01102. 	Y
228	10419/167895	28	Grant 149879		'10.13039/501100008765'	'SNF'	 We gratefully acknowledge support by the ETHFoundation and SNFGrant 149879.	Y
229	10419/167898	15	Canada Research Chairs Program		'10.13039/501100002790'	'Canadian Network for Research and Innovation in Machining Technology, Natural Sciences and Engineering Research Council of Canada'	This research was supported by the Canada Research Chairs Program and grants from the Natural Sciences (Mailhot 101041, Mesfioui 261968).	Y
230	10419/167898	15	Natural Sciences		'10.13039/501100002790'	'Canadian Network for Research and Innovation in Machining Technology, Natural Sciences and Engineering Research Council of Canada'	This research was supported by the Canada Research Chairs Program and grants from the Natural Sciences (Mailhot 101041, Mesfioui 261968).	Y
231	10419/167901	33	Research Training Group		'10.13039/501100001659', '10.13039/501100001663'	'Deutsche Forschungsgemeinschaft', 'Volkswagen Foundation'	We gratefully acknowledge funding from the Deutsche Forschungsgemeinschaft (DFG) within the Research Training Group 1932 “Stochastic Models for Innovations in the Engineering Sciences”, the Volkswagen Foundation within the project “Multivariate and Dynamic Extreme Events with Possibly Misspecified Models”, and the Center of Mathematical and Computational Modeling CM2 of the University of Kaiserslautern, including the funding for the acquisition of the main workstation used throughout this work. We also wish to thank Xilinx University Program (Ireland) for the early access to the Xilinx SDAccel tool, and Matthias Deege from IPConcept (Luxemburg) for useful discussions.	Y
232	10419/167901	33	Engineering Sciences		'10.13039/501100001659', '10.13039/501100001663'	'Deutsche Forschungsgemeinschaft', 'Volkswagen Foundation'	We gratefully acknowledge funding from the Deutsche Forschungsgemeinschaft (DFG) within the Research Training Group 1932 “Stochastic Models for Innovations in the Engineering Sciences”, the Volkswagen Foundation within the project “Multivariate and Dynamic Extreme Events with Possibly Misspecified Models”, and the Center of Mathematical and Computational Modeling CM2 of the University of Kaiserslautern, including the funding for the acquisition of the main workstation used throughout this work. We also wish to thank Xilinx University Program (Ireland) for the early access to the Xilinx SDAccel tool, and Matthias Deege from IPConcept (Luxemburg) for useful discussions.	Y
233	10419/167901	33	Possibly Misspeciﬁed Models		'10.13039/501100001659', '10.13039/501100001663'	'Deutsche Forschungsgemeinschaft', 'Volkswagen Foundation'	We gratefully acknowledge funding from the Deutsche Forschungsgemeinschaft (DFG) within the Research Training Group 1932 “Stochastic Models for Innovations in the Engineering Sciences”, the Volkswagen Foundation within the project “Multivariate and Dynamic Extreme Events with Possibly Misspecified Models”, and the Center of Mathematical and Computational Modeling CM2 of the University of Kaiserslautern, including the funding for the acquisition of the main workstation used throughout this work. We also wish to thank Xilinx University Program (Ireland) for the early access to the Xilinx SDAccel tool, and Matthias Deege from IPConcept (Luxemburg) for useful discussions.	Y
234	10419/167901	33	DFG		'10.13039/501100001659', '10.13039/501100001663'	'Deutsche Forschungsgemeinschaft', 'Volkswagen Foundation'	We gratefully acknowledge funding from the Deutsche Forschungsgemeinschaft (DFG) within the Research Training Group 1932 “Stochastic Models for Innovations in the Engineering Sciences”, the Volkswagen Foundation within the project “Multivariate and Dynamic Extreme Events with Possibly Misspecified Models”, and the Center of Mathematical and Computational Modeling CM2 of the University of Kaiserslautern, including the funding for the acquisition of the main workstation used throughout this work. We also wish to thank Xilinx University Program (Ireland) for the early access to the Xilinx SDAccel tool, and Matthias Deege from IPConcept (Luxemburg) for useful discussions.	Y
235	10419/167906	23	Simons Foundation Grant		'10.13039/100000893', '10.13039/501100000003', '10.13039/501100001659'	'Simons Foundation', 'ARC', 'DFG'	This work was partially supported by Simons Foundation Grant #226863, ARC Grant DP1092502, DFG grant SZ/321/2-1 and the ARC Centre of Excellence for Mathematical and Statistical Frontiers (ACEMS).	Y
236	10419/167906	23	ARC Centre of Excellence for Mathematical and Statistical Frontiers		'10.13039/100000893', '10.13039/501100000003', '10.13039/501100001659'	'Simons Foundation', 'ARC', 'DFG'	This work was partially supported by Simons Foundation Grant #226863, ARC Grant DP1092502, DFG grant SZ/321/2-1 and the ARC Centre of Excellence for Mathematical and Statistical Frontiers (ACEMS).	Y
237	10419/167906	23	Grant DP1092502		'10.13039/100000893', '10.13039/501100000003', '10.13039/501100001659'	'Simons Foundation', 'ARC', 'DFG'	This work was partially supported by Simons Foundation Grant #226863, ARC Grant DP1092502, DFG grant SZ/321/2-1 and the ARC Centre of Excellence for Mathematical and Statistical Frontiers (ACEMS).	Y
238	10419/167906	23	grant SZ/321/2-1		'10.13039/100000893', '10.13039/501100000003', '10.13039/501100001659'	'Simons Foundation', 'ARC', 'DFG'	This work was partially supported by Simons Foundation Grant #226863, ARC Grant DP1092502, DFG grant SZ/321/2-1 and the ARC Centre of Excellence for Mathematical and Statistical Frontiers (ACEMS).	Y
